Movie_Rank,Movie_Name,Worldwide_Gross,Domestic_Gross,Domestic_Percent,Foreign_Gross,Foreign_Percent
96,Dungeons & Dragons,"$33,978,694",15391970.0,45.3,18586724.0,54.7
97,Red Planet,"$33,463,969",17480890.0,52.2,15983079.0,47.8
98,Wonder Boys,"$33,426,588",19393557.0,58.0,14033031.0,42.0
99,Reindeer Games,"$32,168,970",23368995.0,72.6,8799975.0,27.4
100,Lost Souls,"$31,355,910",16815253.0,53.6,14540657.0,46.4
101,Small Time Crooks,"$29,934,477",17266359.0,57.7,12668118.0,42.3
102,Battlefield Earth,"$29,725,663",21471685.0,72.2,8253978.0,27.8
103,Nurse Betty,"$29,360,400",25170054.0,85.7,4190346.0,14.3
104,Boiler Room,"$28,780,255",16970581.0,59.0,11809674.0,41.0
105,The Little Vampire,"$27,965,865",13572400.0,48.5,14393465.0,51.5
106,Love & Basketball,"$27,728,118",27459615.0,99.0,268503.0,1.0
107,Cirque du Soleil: Journey of Man,"$27,538,359",15627434.0,56.7,11910925.0,43.3
108,Center Stage,"$26,385,941",17200925.0,65.2,9185016.0,34.8
109,Saving Grace,"$26,330,482",12178602.0,46.3,14151880.0,53.7
110,Boys and Girls,"$25,850,615",21799652.0,84.3,4050963.0,15.7
111,Down to You,"$24,419,914",20069008.0,82.2,4350906.0,17.8
112,The Next Best Thing,"$24,362,772",14990582.0,61.5,9372190.0,38.5
113,Dr. T & the Women,"$22,844,291",13113041.0,57.4,9731250.0,42.6
114,The Contender,"$22,361,811",17872723.0,79.9,4489088.0,20.1
115,Michael Jordan to the Max,"$21,268,532",18650521.0,87.7,2618011.0,12.3
116,Best in Show,"$20,789,556",18715392.0,90.0,2074164.0,10.0
117,Thomas and the Magic Railroad,"$19,748,009",15933506.0,80.7,3814503.0,19.3
118,Get Carter,"$19,412,993",14967182.0,77.1,4445811.0,22.9
119,The Ninth Gate,"$18,661,336",18661336.0,100.0,73995924.08,65.85
120,Loser,"$18,404,706",15618626.0,84.9,2786080.0,15.1
121,All the Pretty Horses,"$18,133,495",15540353.0,85.7,2593142.0,14.3
122,Quills,"$17,989,227",7065332.0,39.3,10923895.0,60.7
123,CyberWorld,"$16,653,900",11253900.0,67.6,5400000.0,32.4
124,Digimon: The Movie,"$16,643,191",9631153.0,57.9,7012038.0,42.1
125,Italian for Beginners,"$16,349,568",4544753.0,27.8,11804815.0,72.2
126,Drowning Mona,"$15,906,764",15506764.0,97.5,400000.0,2.5
127,Highlander: Endgame,"$15,843,608",12811858.0,80.9,3031750.0,19.1
128,Bait,"$15,471,969",15325127.0,99.1,146842.0,0.9
129,Supernova,"$14,828,081",14230455.0,96.0,597626.0,4.0
130,Malena,"$14,493,284",3448233.0,23.8,11045051.0,76.2
131,I Dreamed of Africa,"$14,400,327",6651522.0,46.2,7748805.0,53.8
132,What Planet Are You From?,"$14,145,677",6291602.0,44.5,7854075.0,55.5
133,The Ladies Man,"$13,743,212",13616610.0,99.1,126602.0,0.9
134,Solarmax,"$13,400,161",13400161.0,100.0,73995924.08,65.85
135,The Crew,"$13,105,853",13023075.0,99.4,82778.0,0.6
136,The Way of the Gun,"$13,069,740",6055661.0,46.3,7014079.0,53.7
137,Gossip,"$12,591,270",5108820.0,40.6,7482450.0,59.4
138,Ready to Rumble,"$12,452,362",12394327.0,99.5,58035.0,0.5
139,Drunken Master II,"$11,555,430",11555430.0,100.0,73995924.08,65.85
140,You Can Count on Me,"$11,242,521",9416804.0,83.8,1825717.0,16.2
141,Shadow of the Vampire,"$11,155,214",8293784.0,74.3,2861430.0,25.7
142,Lucky Numbers,"$10,890,222",10042516.0,92.2,847706.0,7.8
143,Here on Earth,"$10,873,148",10522168.0,96.8,350980.0,3.2
144,Pollock,"$10,558,970",8598593.0,81.4,1960377.0,18.6
145,Anatomy,"$10,501,958",9660.0,47.41,10492298.0,99.9
146,The Virgin Suicides,"$10,409,377",4906229.0,47.1,5503148.0,52.9
147,Woman on Top,"$10,194,274",5020111.0,49.2,5174163.0,50.8
148,Godzilla 2000,"$10,037,390",10037390.0,100.0,73995924.08,65.85
149,Whatever It Takes,"$9,902,115",8745680.0,88.3,1156435.0,11.7
150,3 Strikes,"$9,832,166",9832166.0,100.0,73995924.08,65.85
151,Bread and Tulips,"$9,733,455",5318679.0,54.6,4401169.0,45.2
152,Ghost Dog: The Way of the Samurai,"$9,380,473",3308029.0,35.3,6072444.0,64.7
153,State and Main,"$9,206,279",6944471.0,75.4,2261808.0,24.6
154,Before Night Falls,"$8,527,517",4242892.0,49.8,4284625.0,50.2
155,Butterfly,"$7,733,894",2092682.0,27.1,5641212.0,72.9
156,Ants in the Pants,"$7,625,967",57982996.94,47.41,7625967.0,100.0
157,Requiem for a Dream,"$7,390,108",3635482.0,49.2,3754626.0,50.8
158,Where the Money Is,"$7,243,669",5661798.0,78.2,1581871.0,21.8
159,Screwed,"$7,201,701",7027345.0,97.6,174356.0,2.4
160,Widow of St. Pierre,"$7,193,889",3193889.0,44.4,4000000.0,55.6
161,Croupier,"$7,075,068",6201143.0,87.6,873925.0,12.4
162,Duets,"$6,620,242",4739023.0,71.6,1881219.0,28.4
163,Now or Never,"$5,995,963",57982996.94,47.41,5995963.0,100.0
164,Black & White,"$5,541,431",5277299.0,95.2,264132.0,4.8
165,The in Crowd,"$5,280,035",5280035.0,100.0,73995924.08,65.85
166,The House of Mirth,"$5,164,404",3043284.0,58.9,2121120.0,41.1
167,Otto - Der Katastrofenfilm,"$5,058,355",57982996.94,47.41,5058355.0,100.0
168,Whipped,"$4,775,009",4159986.0,87.1,615023.0,12.9
169,Held Up,"$4,705,631",4705631.0,100.0,73995924.08,65.85
170,The Jungle Book 2000 Re-release,"$4,466,472",57982996.94,47.41,4466472.0,100.0
171,The Tao of Steve,"$4,406,030",4342203.0,98.6,63827.0,1.4
172,Mohabbatein,"$4,279,351",1070000.0,25.0,3209351.0,75.0
173,East Is East,"$4,177,818",4177818.0,100.0,73995924.08,65.85
174,Bossa Nova,"$4,069,261",1823297.0,44.8,2245964.0,55.2
175,Erkan & Stefan,"$4,026,949",57982996.94,47.41,4026949.0,100.0
176,Pettson & Findus - Katten och gubbens år,"$3,920,489",57982996.94,47.41,3920489.0,100.0
177,Up at the Villa,"$3,740,113",2933161.0,78.4,806952.0,21.6
178,The Big Kahuna,"$3,728,888",3165544.0,84.9,563344.0,15.1
179,Price of Glory,"$3,548,556",3440228.0,96.9,108328.0,3.1
180,Gun Shy,"$3,221,280",1638202.0,50.9,1583078.0,49.1
181,Beautiful,"$3,169,930",3157348.0,99.6,12582.0,0.4
182,Isn't She Great,"$3,003,296",2962465.0,98.6,40831.0,1.4
183,No More School,"$2,870,533",57982996.94,47.41,2870533.0,100.0
184,Flickering Lights,"$2,760,019",57982996.94,47.41,2760019.0,100.0
